neighbor_net,subregion,latitude,longitude
Chesterfield,Central/South Virginia,37.385998,-77.578509
Glen Allen,Central/South Virginia,37.664879,-77.487124
Virginia Tech,Central/South Virginia,37.221927,-80.427282
Bolingbrook,Chicago,41.700330,-88.071771
ICWS,Chicago,41.884751,-88.203961
IFN,Chicago,42.327889,-87.913117
Niles,Chicago,42.038112,-87.770796
Plainfield,Chicago,41.557076,-88.190503
Potter,Chicago,42.153914,-88.136189
Westside,Chicago,41.850030,-87.964508
Wheaton,Chicago,41.864696,-88.110171
Berlin,Connecticut,41.621488,-72.745652
Middletown,Connecticut,41.562318,-72.650906
New Britain,Connecticut,41.661188,-72.779559
New Haven,Connecticut,41.308214,-72.925052
Windsor Locks,Connecticut,41.931210,-72.631385
75,Dallas East,33.013676,-96.692510
East Plano,Dallas East,33.013676,-96.692510
Frisco,Dallas East,33.150600,-96.823818
Prosper,Dallas East,33.237158,-96.797705
Richardson,Dallas East,32.948179,-96.729721
Carrollton,Dallas West,32.951547,-96.903424
Colleyville,Dallas West,32.880960,-97.155012
Euless,Dallas West,32.837073,-97.081954
Irving,Dallas West,32.829518,-96.944218
Southlake,Dallas West,32.941236,-97.134178
Valley Ranch,Dallas West,32.934155,-96.953195
Gainesville - FL,Florida,29.651968,-82.324985
Jacksonville,Florida,30.326225,-81.657918
Pines,Florida,26.006194,-80.287209
Pompano,Florida,26.237860,-80.124767
SoFlo,Florida,26.191140,-80.293550
St Johns,Florida,29.903228,-81.414547
Alpharetta,Georgia,34.075596,-84.294596
Cumming,Georgia,34.207320,-84.140193
East Cobb,Georgia,33.978709,-84.487020
Liburn,Georgia,33.890104,-84.142972
Roswell,Georgia,34.023320,-84.360022
Suwanee,Georgia,34.051490,-84.071300
Bear Creek,Houston,29.848485,-95.703357
Cinco Ranch,Houston,29.730212,-95.775100
Clear Lake,Houston,29.592542,-95.180214
College Station,Houston,30.622258,-96.347468
Cypress,Houston,29.969112,-95.697169
Masjid Maryam,Houston,29.593293,-95.684280
Pearland,Houston,29.563976,-95.286430
River Oaks,Houston,29.747940,-95.426509
Spring,Houston,30.070979,-95.401342
Synott,Houston,29.665286,-95.615765
4th St,Kentucky,38.208438,-85.764673
Bowling Green,Kentucky,36.992920,-86.442868
Lexington,Kentucky,38.046407,-84.497039
Annapolis,Maryland,38.978640,-76.492786
Baltimore,Maryland,39.290882,-76.610759
Gaithersburg,Maryland,39.139919,-77.192921
Lanham,Maryland,38.965365,-76.841793
Salisbury,Maryland,38.366027,-75.600996
Silver Spring,Maryland,38.999762,-77.024037
Whitemarsh,Maryland,39.383655,-76.451127
Lowell,Massachusetts,42.641444,-71.308533
Metrowest,Massachusetts,42.269431,-71.612991
Pawtucket,Massachusetts,41.886997,-71.357708
Quincy,Massachusetts,42.250991,-71.003737
Sharon,Massachusetts,42.123733,-71.178728
Worcester,Massachusetts,42.262562,-71.801888
Blaine,Minnesota,45.160799,-93.234949
Edison,New Jersey Central,40.500535,-74.398394
Old Bridge,New Jersey Central,40.399178,-74.340904
Piscataway,New Jersey Central,40.546433,-74.466054
Woodbridge,New Jersey Central,40.554180,-74.286001
Bayonne,New Jersey North,40.668714,-74.114309
Jersey City,New Jersey North,40.721568,-74.047455
Morris County,New Jersey North,40.842718,-74.392147
Newark,New Jersey North,40.735657,-74.172367
North Hudson,New Jersey North,40.804267,-74.012084
Paramus,New Jersey North,40.945291,-74.073590
Teaneck,New Jersey North,40.886016,-74.007257
Wayne,New Jersey North,40.949172,-74.237680
571,New Jersey South,40.281318,-74.570406
Blackwood,New Jersey South,39.799232,-75.064170
Montyboro,New Jersey South,40.507535,-74.646486
South Brunswick,New Jersey South,40.381873,-74.531766
South Jersey,New Jersey South,39.914023,-74.968922
Deer Park,New York East,40.762250,-73.322859
East Meadow,New York East,40.721775,-73.558291
Jamaica,New York East,40.698763,-73.808825
Melville,New York East,40.783591,-73.407557
NYIT,New York East,40.807959,-73.606269
Queens Village,New York East,40.726769,-73.741521
Ronkonkoma,New York East,40.807522,-73.135992
Shelter Rock,New York East,40.766697,-73.670325
Valley Stream,New York East,40.663136,-73.705696
Brooklyn,New York West,40.633753,-73.964178
Rockland,New York West,41.150984,-73.989778
Stamford,New York West,41.053430,-73.538734
Westchester,New York West,40.918215,-73.786449
White Plains,New York West,41.033986,-73.762910
Burke,Northern Virginia,38.781244,-77.268888
Falls Church,Northern Virginia,38.882334,-77.171091
Gainesville - VA,Northern Virginia,38.792741,-77.629202
